arch_id,train_loss,train_accuracy,train_per_time,train_all_time,test_loss,test_accuracy,max_test_accuracy,test_per_time,test_all_time,best_epoch
0,0.30104338455200197,98.80000012207032,0.21729955332619802,15.210968732833862,16.76902619934082,7.43,13.47,,,29
1,0.0024720143862068653,100.0,0.22760447093418668,15.932312965393066,8.584430714416504,8.63,13.81,,,9
2,0.21332777726650237,99.40000024414063,0.22191403252737862,15.533982276916504,14.216496438598632,9.58,11.64,,,36
3,0.006014052007347346,100.0,0.1986518178667341,13.905627250671387,8.065747055053711,7.21,8.97,,,1
4,1.885660083770752,38.79999908447266,0.20726234912872316,14.50836443901062,6.789962622070313,7.87,8.66,,,15
5,0.003907776864245534,100.0,0.22956245967320033,16.069372177124023,9.753322169494629,8.88,9.96,,,25
6,0.004338371470570564,100.0,0.23825367859431676,16.677757501602173,8.49884026031494,8.32,13.73,,,2
7,0.003337151052430272,100.0,0.22126987321036204,15.488891124725342,8.905838874816894,10.4,11.12,,,13
8,0.003378244414925575,100.0,0.22149369716644288,15.504558801651001,12.01847981262207,7.71,14.95,,,8
9,0.006055783309042453,100.0,0.20225588594164168,14.157912015914917,6.512216091918945,8.11,11.99,,,1
10,2.302585584640503,9.99999998474121,0.23748106956481935,16.623674869537354,2.3025854217529296,10.0,10.0,,,0
11,0.6374284434318542,82.39999841308594,0.24619309220995222,17.233516454696655,5.358985684204102,9.03,13.8,,,14
12,2.302585678100586,9.999999885559083,0.20353754929133824,14.247628450393677,2.302585386657715,10.0,10.0,,,0
13,0.01424091936647892,100.0,0.2400801590510777,16.80561113357544,8.177566778564453,6.77,13.43,,,7
14,0.0032187029179185627,100.0,0.2278214693069458,15.947502851486206,7.754947853851318,11.22,12.14,,,31
15,2.0154083824157714,26.799999710083007,0.16657140254974365,11.659998178482056,6.342197535705567,7.73,8.83,,,16
16,0.0025375766344368457,100.0,0.2018420594079154,14.128944158554077,6.981736955261231,8.56,10.9,,,6
17,0.004450672533363104,100.0,0.20996577058519636,14.697603940963745,9.10259864654541,5.56,14.0,,,13
18,0.006166251856833696,100.0,0.22024994918278284,15.4174964427948,8.689402056884765,7.32,11.67,,,3
19,0.01388231560587883,100.0,0.22052324499402728,15.43662714958191,7.4785127975463865,8.47,10.41,,,0
20,0.005749599553644657,100.0,0.20727861949375698,14.509503364562988,5.772747629547119,7.99,10.13,,,20
21,0.007819444604218006,100.0,0.21573454993111746,15.101418495178223,5.082328253936768,11.47,11.85,,,34
22,0.0096314996778965,100.0,0.20472479207175118,14.330735445022583,5.7838793487548825,8.53,11.7,,,10
23,0.0067258009016513826,100.0,0.22158608436584473,15.51102590560913,10.412461012268066,10.82,11.34,,,28
24,1.001734805583954,75.39999951171875,0.17835264205932616,12.484684944152832,16.280184742736818,7.01,9.81,,,44
25,0.006014052007347346,100.0,0.16174389634813582,11.322072744369507,8.065747055053711,7.21,8.97,,,1
26,0.01295000933855772,100.0,0.24846739768981935,17.392717838287354,5.437377563476563,9.99,11.58,,,12
27,0.013712610140442848,100.0,0.2175752741949899,15.230269193649292,9.681972477722168,7.09,12.44,,,12
28,1.0671230525970459,70.80000048828126,0.18379060881478446,12.865342617034912,13.07232950744629,7.82,11.49,,,25
29,0.007914672680199146,100.0,0.19298559256962367,13.508991479873657,7.829477975463867,7.68,10.81,,,2
30,0.004764671966433525,100.0,0.1814911195210048,12.704378366470337,7.765760749816894,7.47,12.37,,,7
31,0.008243218660354615,100.0,0.20469612734658377,14.328728914260864,5.863079280090332,11.09,11.1,,,65
32,0.002039676986634731,100.0,0.19740805285317556,13.81856369972229,5.634983492279053,10.03,10.48,,,14
33,0.0045914419703185555,100.0,0.21695149966648647,15.186604976654053,7.775897777557373,8.72,11.35,,,21
34,0.00910058544576168,100.0,0.20448961598532542,14.314273118972778,7.559234898376465,8.17,14.85,,,10
35,0.03757413107156753,100.0,0.2016261373247419,14.113829612731934,5.695251335906982,8.92,11.93,,,27
36,0.00985164437443018,100.0,0.22113164493015836,15.479215145111084,8.004698620605469,7.27,10.83,,,15
37,0.004236822530627251,100.0,0.17926463399614606,12.548524379730225,6.129192627716065,7.57,12.93,,,17
38,0.0713926014304161,99.80000012207032,0.2182542426245553,15.277796983718872,4.614147158050537,8.95,10.45,,,32
39,0.0060593046024441715,100.0,0.19479543481554304,13.635680437088013,8.629052514648437,8.04,12.19,,,1
40,0.1262844713330269,100.0,0.2032391309738159,14.226739168167114,8.504905395507812,8.46,10.39,,,13
41,0.014112742379307748,100.0,0.2165752989905221,15.160270929336548,9.713283303833007,8.82,10.86,,,19
42,0.0028481571674346924,100.0,0.21850135326385497,15.295094728469849,7.540791604614258,9.38,9.92,,,10
43,0.0655991244316101,100.0,0.2105736494064331,14.740155458450317,6.997479335021973,8.24,15.1,,,4
44,1.234481562614441,64.19999969482421,0.18661343029567173,13.062940120697021,11.083469453430176,8.65,14.73,,,0
45,0.004061779823154211,100.0,0.17920056411198207,12.544039487838745,5.7602420402526855,7.08,10.25,,,0
46,0.0217096184194088,100.0,0.21066917351314,14.7468421459198,6.546369284057617,8.32,10.09,,,1
47,0.0057224597930908205,100.0,0.20789619173322404,14.552733421325684,7.780220328521729,6.67,11.9,,,0
48,2.0000658569335936,30.19999995422363,0.18527090549468994,12.968963384628296,7.081305386352539,6.6,11.98,,,5
49,0.003299375565722585,100.0,0.2041555643081665,14.290889501571655,7.758780786132813,6.16,12.41,,,14
50,0.014160479970276356,100.0,0.2463554552623204,17.244881868362427,5.5544160385131836,9.56,10.96,,,35
51,0.005953840725123882,100.0,0.207943023954119,14.55601167678833,8.07143023071289,6.95,11.05,,,18
52,0.004002555582672358,100.0,0.22503209795270648,15.752246856689453,5.84621766204834,9.24,13.18,,,26
53,2.0655031299591062,25.39999951171875,0.17202740396772112,12.041918277740479,5.533273807525635,8.27,8.83,,,15
54,0.008255537815392018,100.0,0.22144995757511685,15.501497030258179,10.852389387512208,6.05,10.35,,,6
55,0.006014052007347346,100.0,0.16725031648363387,11.70752215385437,8.065747055053711,7.21,8.97,,,1
